sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_label_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_phone,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,id_ref,value,big_key,tissue,timepoint_group,treatment_group
96cr_eos_abi_39,,,,,,,96CR_EOS_abi_39,GSM2281085,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 96CR_EOS: abi, sample: 39",Homo sapiens,9606,total RNA,biotin,"LuCaP 96CR_EOS: abi, sample: 39",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281085/suppl/GSM2281085_38999.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281085,LuCaP 96CR PDX tumor,EOS,abi
96cr_eos_abi_41,,,,,,,96CR_EOS_abi_41,GSM2281086,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 96CR_EOS: abi, sample: 41",Homo sapiens,9606,total RNA,biotin,"LuCaP 96CR_EOS: abi, sample: 41",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281086/suppl/GSM2281086_39001.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281086,LuCaP 96CR PDX tumor,EOS,abi
96cr_eos_abi_46,,,,,,,96CR_EOS_abi_46,GSM2281087,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 96CR_EOS: abi, sample: 46",Homo sapiens,9606,total RNA,biotin,"LuCaP 96CR_EOS: abi, sample: 46",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281087/suppl/GSM2281087_39006.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281087,LuCaP 96CR PDX tumor,EOS,abi
96cr_day_7_control_34,,,,,,,96CR_Day_7_control_34,GSM2281088,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 96CR_Day 7: control, sample: 34",Homo sapiens,9606,total RNA,biotin,"LuCaP 96CR_Day 7: control, sample: 34",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281088/suppl/GSM2281088_38994.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281088,LuCaP 96CR PDX tumor,Day 7,control
96cr_day_7_control_37,,,,,,,96CR_Day_7_control_37,GSM2281089,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 96CR_Day 7: control, sample: 37",Homo sapiens,9606,total RNA,biotin,"LuCaP 96CR_Day 7: control, sample: 37",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281089/suppl/GSM2281089_38997.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281089,LuCaP 96CR PDX tumor,Day 7,control
96cr_day_7_control_42,,,,,,,96CR_Day_7_control_42,GSM2281090,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 96CR_Day 7: control, sample: 42",Homo sapiens,9606,total RNA,biotin,"LuCaP 96CR_Day 7: control, sample: 42",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281090/suppl/GSM2281090_39002.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281090,LuCaP 96CR PDX tumor,Day 7,control
96cr_day_7_control_48,,,,,,,96CR_Day_7_control_48,GSM2281091,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 96CR_Day 7: control, sample: 48",Homo sapiens,9606,total RNA,biotin,"LuCaP 96CR_Day 7: control, sample: 48",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281091/suppl/GSM2281091_39009.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281091,LuCaP 96CR PDX tumor,Day 7,control
96cr_day_7_abi_35,,,,,,,96CR_Day_7_abi_35,GSM2281092,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 96CR_Day 7: abi, sample: 35",Homo sapiens,9606,total RNA,biotin,"LuCaP 96CR_Day 7: abi, sample: 35",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281092/suppl/GSM2281092_38995.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281092,LuCaP 96CR PDX tumor,Day 7,abi
96cr_day_7_abi_38,,,,,,,96CR_Day_7_abi_38,GSM2281093,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 96CR_Day 7: abi, sample: 38",Homo sapiens,9606,total RNA,biotin,"LuCaP 96CR_Day 7: abi, sample: 38",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281093/suppl/GSM2281093_38998.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281093,LuCaP 96CR PDX tumor,Day 7,abi
96cr_day_7_abi_43,,,,,,,96CR_Day_7_abi_43,GSM2281094,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 96CR_Day 7: abi, sample: 43",Homo sapiens,9606,total RNA,biotin,"LuCaP 96CR_Day 7: abi, sample: 43",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281094/suppl/GSM2281094_39003.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281094,LuCaP 96CR PDX tumor,Day 7,abi
96cr_day_7_abi_47,,,,,,,96CR_Day_7_abi_47,GSM2281095,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 96CR_Day 7: abi, sample: 47",Homo sapiens,9606,total RNA,biotin,"LuCaP 96CR_Day 7: abi, sample: 47",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281095/suppl/GSM2281095_39007.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281095,LuCaP 96CR PDX tumor,Day 7,abi
136_eos_control_51,,,,,,,136_EOS_control_51,GSM2281096,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 136_EOS: control, sample: 51",Homo sapiens,9606,total RNA,biotin,"LuCaP 136_EOS: control, sample: 51",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281096/suppl/GSM2281096_39012.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281096,LuCaP 136 PDX tumor,EOS,control
136_eos_control_57,,,,,,,136_EOS_control_57,GSM2281097,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 136_EOS: control, sample: 57",Homo sapiens,9606,total RNA,biotin,"LuCaP 136_EOS: control, sample: 57",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281097/suppl/GSM2281097_39018.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281097,LuCaP 136 PDX tumor,EOS,control
136_eos_control_60,,,,,,,136_EOS_control_60,GSM2281098,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 136_EOS: control, sample: 60",Homo sapiens,9606,total RNA,biotin,"LuCaP 136_EOS: control, sample: 60",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281098/suppl/GSM2281098_39021.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281098,LuCaP 136 PDX tumor,EOS,control
136_eos_control_68,,,,,,,136_EOS_control_68,GSM2281099,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 136_EOS: control, sample: 68",Homo sapiens,9606,total RNA,biotin,"LuCaP 136_EOS: control, sample: 68",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281099/suppl/GSM2281099_39029.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281099,LuCaP 136 PDX tumor,EOS,control
136_eos_control_cx_50,,,,,,,136_EOS_control_CX_50,GSM2281100,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 136_EOS: control CX, sample: 50",Homo sapiens,9606,total RNA,biotin,"LuCaP 136_EOS: control CX, sample: 50",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281100/suppl/GSM2281100_39011.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281100,LuCaP 136 PDX tumor,EOS,control CX
136_eos_control_cx_52,,,,,,,136_EOS_control_CX_52,GSM2281101,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 136_EOS: control CX, sample: 52",Homo sapiens,9606,total RNA,biotin,"LuCaP 136_EOS: control CX, sample: 52",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281101/suppl/GSM2281101_39013.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281101,LuCaP 136 PDX tumor,EOS,control CX
136_eos_control_cx_58,,,,,,,136_EOS_control_CX_58,GSM2281102,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 136_EOS: control CX, sample: 58",Homo sapiens,9606,total RNA,biotin,"LuCaP 136_EOS: control CX, sample: 58",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281102/suppl/GSM2281102_39019.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281102,LuCaP 136 PDX tumor,EOS,control CX
136_eos_control_cx_59,,,,,,,136_EOS_control_CX_59,GSM2281103,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 136_EOS: control CX, sample: 59",Homo sapiens,9606,total RNA,biotin,"LuCaP 136_EOS: control CX, sample: 59",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281103/suppl/GSM2281103_39020.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281103,LuCaP 136 PDX tumor,EOS,control CX
136_eos_control_cx_63,,,,,,,136_EOS_control_CX_63,GSM2281104,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 136_EOS: control CX, sample: 63",Homo sapiens,9606,total RNA,biotin,"LuCaP 136_EOS: control CX, sample: 63",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281104/suppl/GSM2281104_39024.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281104,LuCaP 136 PDX tumor,EOS,control CX
136_eos_control_cx_66,,,,,,,136_EOS_control_CX_66,GSM2281105,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 136_EOS: control CX, sample: 66",Homo sapiens,9606,total RNA,biotin,"LuCaP 136_EOS: control CX, sample: 66",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281105/suppl/GSM2281105_39027.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281105,LuCaP 136 PDX tumor,EOS,control CX
136_eos_abi_55,,,,,,,136_EOS_abi_55,GSM2281106,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 136_EOS: abi, sample: 55",Homo sapiens,9606,total RNA,biotin,"LuCaP 136_EOS: abi, sample: 55",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281106/suppl/GSM2281106_39016.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281106,LuCaP 136 PDX tumor,EOS,abi
136_eos_abi_65,,,,,,,136_EOS_abi_65,GSM2281107,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 136_EOS: abi, sample: 65",Homo sapiens,9606,total RNA,biotin,"LuCaP 136_EOS: abi, sample: 65",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281107/suppl/GSM2281107_39026.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281107,LuCaP 136 PDX tumor,EOS,abi
136_eos_abi_67,,,,,,,136_EOS_abi_67,GSM2281108,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 136_EOS: abi, sample: 67",Homo sapiens,9606,total RNA,biotin,"LuCaP 136_EOS: abi, sample: 67",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281108/suppl/GSM2281108_39028.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281108,LuCaP 136 PDX tumor,EOS,abi
136_eos_abi_70,,,,,,,136_EOS_abi_70,GSM2281109,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 136_EOS: abi, sample: 70",Homo sapiens,9606,total RNA,biotin,"LuCaP 136_EOS: abi, sample: 70",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281109/suppl/GSM2281109_39031.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281109,LuCaP 136 PDX tumor,EOS,abi
136_day_7_control_54,,,,,,,136_Day_7_control_54,GSM2281110,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 136_Day 7: control, sample: 54",Homo sapiens,9606,total RNA,biotin,"LuCaP 136_Day 7: control, sample: 54",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281110/suppl/GSM2281110_39015.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281110,LuCaP 136 PDX tumor,Day 7,control
136_day_7_control_56,,,,,,,136_Day_7_control_56,GSM2281111,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 136_Day 7: control, sample: 56",Homo sapiens,9606,total RNA,biotin,"LuCaP 136_Day 7: control, sample: 56",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281111/suppl/GSM2281111_39017.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281111,LuCaP 136 PDX tumor,Day 7,control
136_day_7_control_61,,,,,,,136_Day_7_control_61,GSM2281112,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 136_Day 7: control, sample: 61",Homo sapiens,9606,total RNA,biotin,"LuCaP 136_Day 7: control, sample: 61",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281112/suppl/GSM2281112_39022.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281112,LuCaP 136 PDX tumor,Day 7,control
136_day_7_control_62,,,,,,,136_Day_7_control_62,GSM2281113,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 136_Day 7: control, sample: 62",Homo sapiens,9606,total RNA,biotin,"LuCaP 136_Day 7: control, sample: 62",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281113/suppl/GSM2281113_39023.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281113,LuCaP 136 PDX tumor,Day 7,control
136_day_7_abi_49,,,,,,,136_Day_7_abi_49,GSM2281114,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 136_Day 7: abi, sample: 49",Homo sapiens,9606,total RNA,biotin,"LuCaP 136_Day 7: abi, sample: 49",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281114/suppl/GSM2281114_39010.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281114,LuCaP 136 PDX tumor,Day 7,abi
136_day_7_abi_53,,,,,,,136_Day_7_abi_53,GSM2281115,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 136_Day 7: abi, sample: 53",Homo sapiens,9606,total RNA,biotin,"LuCaP 136_Day 7: abi, sample: 53",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281115/suppl/GSM2281115_39014.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281115,LuCaP 136 PDX tumor,Day 7,abi
136_day_7_abi_64,,,,,,,136_Day_7_abi_64,GSM2281116,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 136_Day 7: abi, sample: 64",Homo sapiens,9606,total RNA,biotin,"LuCaP 136_Day 7: abi, sample: 64",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281116/suppl/GSM2281116_39025.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281116,LuCaP 136 PDX tumor,Day 7,abi
136_day_7_abi_69,,,,,,,136_Day_7_abi_69,GSM2281117,Public on Dec 22 2016,Aug 16 2016,Dec 22 2016,RNA,1,"LuCaP 136_Day 7: abi, sample: 69",Homo sapiens,9606,total RNA,biotin,"LuCaP 136_Day 7: abi, sample: 69",GPL18189,"Ilsa,,Coleman",icoleman@fredhutch.org,206-667-1703,Peter Nelson,Human Biology,Fred Hutchinson Cancer Center,"1100 Fairview Ave N, E2-112",Seattle,WA,98109,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2281nnn/GSM2281117/suppl/GSM2281117_39030.CEL.gz,GSE85672,18567,,RMA normalized log2 signal intensities.,GSM2281117,LuCaP 136 PDX tumor,Day 7,abi
