sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_label_ch1,sample_description,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_phone,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_supplementary_file,sample_series_id,sample_data_row_count,id_ref,value,big_key,gender,disease_state,tissue,cell_type,time_of_wbc_and_fatigue_score_collection,individual
2a_b,,,,,,,2a_b,GSM753611,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, baseline",Homo sapiens,9606,total RNA,biotin,JJB110112_P2A,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753611/suppl/GSM753611.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753611,male,non-metastatic prostate cancer,peripheral blood,white blood cells,baseline,P2
2a_c,,,,,,,2a_c,GSM753612,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,matched control,1,"peripheral white blood cells, matched control",Homo sapiens,9606,total RNA,biotin,JJB110112_HV48,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753612/suppl/GSM753612.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753612,male,healthy,peripheral blood,white blood cells,,
2a_d1,,,,,,,2a_d1,GSM753613,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D1",Homo sapiens,9606,total RNA,biotin,JJB110112_P2B,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753613/suppl/GSM753613.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753613,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D1,P2
2a_d7,,,,,,,2a_d7,GSM753614,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D7",Homo sapiens,9606,total RNA,biotin,JJB110112_P2C,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753614/suppl/GSM753614.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753614,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D7,P2
2a_d14,,,,,,,2a_d14,GSM753615,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D14",Homo sapiens,9606,total RNA,biotin,JJB110112_P2D,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753615/suppl/GSM753615.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753615,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D14,P2
2a_d21,,,,,,,2a_d21,GSM753616,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D21",Homo sapiens,9606,total RNA,biotin,JJB110112_P2E,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753616/suppl/GSM753616.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753616,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D21,P2
2a_d42,,,,,,,2a_d42,GSM753617,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D42",Homo sapiens,9606,total RNA,biotin,JJB110112_P2F,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753617/suppl/GSM753617.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753617,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D42,P2
2a_d72,,,,,,,2a_d72,GSM753618,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D72",Homo sapiens,9606,total RNA,biotin,JJB110112_P2G,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753618/suppl/GSM753618.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753618,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D72 (30 days post-EBRT),P2
4_b,,,,,,,4_b,GSM753619,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, baseline",Homo sapiens,9606,total RNA,biotin,JJB100504_4A,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753619/suppl/GSM753619.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753619,male,non-metastatic prostate cancer,peripheral blood,white blood cells,baseline,4
4_c,,,,,,,4_c,GSM753620,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,matched control,1,"peripheral white blood cells, matched control",Homo sapiens,9606,total RNA,biotin,JJB100504_HV3A,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753620/suppl/GSM753620.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753620,male,healthy,peripheral blood,white blood cells,,
4_d1,,,,,,,4_d1,GSM753621,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D1",Homo sapiens,9606,total RNA,biotin,JJB100504_4B,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753621/suppl/GSM753621.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753621,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D1,4
4_d7,,,,,,,4_d7,GSM753622,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D7",Homo sapiens,9606,total RNA,biotin,JJB100504_4C-R,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753622/suppl/GSM753622.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753622,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D7,4
4_d14,,,,,,,4_d14,GSM753623,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D14",Homo sapiens,9606,total RNA,biotin,JJB100504_4D-R,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753623/suppl/GSM753623.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753623,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D14,4
4_d21,,,,,,,4_d21,GSM753624,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D21",Homo sapiens,9606,total RNA,biotin,JJB100504_4E,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753624/suppl/GSM753624.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753624,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D21,4
4_d42,,,,,,,4_d42,GSM753625,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D42",Homo sapiens,9606,total RNA,biotin,JJB100504_4F-R,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753625/suppl/GSM753625.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753625,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D42,4
4_d72,,,,,,,4_d72,GSM753626,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D72",Homo sapiens,9606,total RNA,biotin,JJB100504_4G,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753626/suppl/GSM753626.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753626,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D72 (30 days post-EBRT),4
5_b,,,,,,,5_b,GSM753627,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, baseline",Homo sapiens,9606,total RNA,biotin,JJB100504_5A,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753627/suppl/GSM753627.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753627,male,non-metastatic prostate cancer,peripheral blood,white blood cells,baseline,5
5_c,,,,,,,5_c,GSM753628,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,matched control,1,"peripheral white blood cells, matched control",Homo sapiens,9606,total RNA,biotin,JJB100504_HV14A,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753628/suppl/GSM753628.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753628,male,healthy,peripheral blood,white blood cells,,
5_d1,,,,,,,5_d1,GSM753629,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D1",Homo sapiens,9606,total RNA,biotin,JJB100504_5B,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753629/suppl/GSM753629.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753629,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D1,5
5_d7,,,,,,,5_d7,GSM753630,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D7",Homo sapiens,9606,total RNA,biotin,JJB100504_5C,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753630/suppl/GSM753630.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753630,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D7,5
5_d14,,,,,,,5_d14,GSM753631,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D14",Homo sapiens,9606,total RNA,biotin,JJB100504_5D,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753631/suppl/GSM753631.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753631,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D14,5
5_d21,,,,,,,5_d21,GSM753632,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D21",Homo sapiens,9606,total RNA,biotin,JJB100504_5E,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753632/suppl/GSM753632.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753632,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D21,5
5_d42,,,,,,,5_d42,GSM753633,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D42",Homo sapiens,9606,total RNA,biotin,JJB100504_5F,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753633/suppl/GSM753633.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753633,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D42,5
5_d72,,,,,,,5_d72,GSM753634,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D72",Homo sapiens,9606,total RNA,biotin,JJB100504_5G,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753634/suppl/GSM753634.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753634,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D72 (30 days post-EBRT),5
6_b,,,,,,,6_b,GSM753635,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, baseline",Homo sapiens,9606,total RNA,biotin,JJB100504_6A,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753635/suppl/GSM753635.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753635,male,non-metastatic prostate cancer,peripheral blood,white blood cells,baseline,6
6_c,,,,,,,6_c,GSM753636,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,matched control,1,"peripheral white blood cells, matched control",Homo sapiens,9606,total RNA,biotin,JJB100504_HV1A,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753636/suppl/GSM753636.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753636,male,healthy,peripheral blood,white blood cells,,
6_d1,,,,,,,6_d1,GSM753637,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D1",Homo sapiens,9606,total RNA,biotin,JJB100504_6B,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753637/suppl/GSM753637.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753637,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D1,6
6_d7,,,,,,,6_d7,GSM753638,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D7",Homo sapiens,9606,total RNA,biotin,JJB100504_6C,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753638/suppl/GSM753638.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753638,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D7,6
6_d14,,,,,,,6_d14,GSM753639,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D14",Homo sapiens,9606,total RNA,biotin,JJB100504_6D,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753639/suppl/GSM753639.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753639,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D14,6
6_d21,,,,,,,6_d21,GSM753640,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D21",Homo sapiens,9606,total RNA,biotin,JJB100504_6E,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753640/suppl/GSM753640.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753640,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D21,6
6_d42,,,,,,,6_d42,GSM753641,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D42",Homo sapiens,9606,total RNA,biotin,JJB100504_6F,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753641/suppl/GSM753641.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753641,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D42,6
6_d72,,,,,,,6_d72,GSM753642,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D72",Homo sapiens,9606,total RNA,biotin,JJB100504_6G,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753642/suppl/GSM753642.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753642,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D72 (30 days post-EBRT),6
8_b,,,,,,,8_b,GSM753643,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, baseline",Homo sapiens,9606,total RNA,biotin,JJB100504_8A,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753643/suppl/GSM753643.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753643,male,non-metastatic prostate cancer,peripheral blood,white blood cells,baseline,8
8_c,,,,,,,8_c,GSM753644,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,matched control,1,"peripheral white blood cells, matched control",Homo sapiens,9606,total RNA,biotin,JJB100504_HV13A,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753644/suppl/GSM753644.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753644,male,healthy,peripheral blood,white blood cells,,
8_d1,,,,,,,8_d1,GSM753645,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D1",Homo sapiens,9606,total RNA,biotin,JJB100504_8B,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753645/suppl/GSM753645.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753645,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D1,8
8_d7,,,,,,,8_d7,GSM753646,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D7",Homo sapiens,9606,total RNA,biotin,JJB100504_8C-R,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753646/suppl/GSM753646.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753646,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D7,8
8_d14,,,,,,,8_d14,GSM753647,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D14",Homo sapiens,9606,total RNA,biotin,JJB100504_8D-R,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753647/suppl/GSM753647.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753647,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D14,8
8_d21,,,,,,,8_d21,GSM753648,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D21",Homo sapiens,9606,total RNA,biotin,JJB100504_8E,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753648/suppl/GSM753648.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753648,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D21,8
8_d42,,,,,,,8_d42,GSM753649,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D42",Homo sapiens,9606,total RNA,biotin,JJB100504_8F,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753649/suppl/GSM753649.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753649,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D42,8
8_d72,,,,,,,8_d72,GSM753650,Public on Dec 21 2012,Jul 01 2011,Dec 22 2012,RNA,1,"peripheral white blood cells, D72",Homo sapiens,9606,total RNA,biotin,JJB100504_8G-R,Affymetrix Microarray Suite version 5.0.,GPL570,"Jennifer,,Barb",barbj@mail.nih.gov,3014359232,MSCL,DCB,NIH,12 South Drive Bldg 12A Room 2001,Bethesda,MD,20892,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM753nnn/GSM753650/suppl/GSM753650.CEL.gz,GSE30174,54675,,MAS5.0 signal intensity,GSM753650,male,non-metastatic prostate cancer,peripheral blood,white blood cells,D72 (30 days post-EBRT),8
